Course Code,Course Name,SQI
14:540:462,Fac Layout & Mh,4.07
14:540:485,Industrial Informatics: Industrial Data Analytics,4.49
14:540:492,Special Problems: Intro To Reliability,3.82
14:635:204,Materials Processing,2.58
14:635:206,Thermo Of Materials,4.25
14:635:212,Physics Of Materials,4.39
14:635:314,Strength Of Mat,4.48
14:635:320,Int To Nanomaterials,4.19
14:635:401,Senior Mse Lab,3.96
14:635:411,Mse Eng'g Design I,3.95
14:635:416,Phys&chem Prop Glass,3.11
14:635:440,Electrochemical Devices,3.85
14:650:432,Mech Engg Lab II,3.59
14:650:433,Aerospace Engr Lab,3.59
14:650:435,Energy Systems Lab,3.69
14:650:449,Aerospace Materials,3.41
14:650:458,Aerospace Structures,3.39
14:650:459,Aerospace Propulsion,3.71
14:650:460,Aerodynamics,4.15
14:650:461,Int Comb Engines,3.47
14:650:463,Comprs Fluid Dynamcs,4.2
14:650:468,Design & Mfg 2,3.99
14:650:471,Aircraft Flight Dyn,2.87
14:650:478,Me Aspects Elec Pkgg,4.33
14:650:485,Computing Environmen,4.22
14:650:488,Aerospace Engineering Design 2,3.77
14:125:490,Bme Ha Research II,2.52
14:180:438,Transportatn Engg II,3.97
14:332:348,Digital Signal Processing Lab,2.46
14:635:361,Mse Of Polymers,2.92
14:180:374,Soil Mechanics Lab,3.94
14:635:354,Lab III,3.89
